route_key,route_name,source_file,last_updated
hakoneTozan2,箱根登山鉄道,kanto-private-more.ts,2026-05-18
shinkeisei2,新京成電鉄,kanto-private-more.ts,2026-05-18
ryutetsuLine,流鉄流山線,kanto-private-more.ts,2026-05-18
choshiDenki,銚子電気鉄道,kanto-private-more.ts,2026-05-18
minatomirai,みなとみらい線,kanto-private-more.ts,2026-05-18
sembokuKosokuLine,泉北高速鉄道,kinki-private-more.ts,2026-05-18
nosedenMyokenLine,能勢電鉄妙見線,kinki-private-more.ts,2026-05-18
keihanIshiyamasakamoto,京阪石山坂本線,kinki-private-more.ts,2026-05-18
osakaMono,大阪モノレール,kinki-private-more.ts,2026-05-18
hanshinNamba,阪神なんば線,kinki-private-more.ts,2026-05-18
hankyuKobeLine2,阪急神戸線,kinki-private-more.ts,2026-05-18
matsuuraRailway,松浦鉄道西九州線,kyushu-private-more.ts,2026-05-18
hisatsuOrange,肥薩おれんじ鉄道,kyushu-private-more.ts,2026-05-18
jrKudaiMainLine,JR久大本線,kyushu-private-more.ts,2026-05-18
jrHohibMainLine2,JR豊肥本線,kyushu-private-more.ts,2026-05-18
jrTakayamaMainLine,JR高山本線,jr-chubu-more.ts,2026-05-18
jrIiyamaLine,JR飯山線,jr-chubu-more.ts,2026-05-18
jrOitoLine,JR大糸線,jr-chubu-more.ts,2026-05-18
hakodateShiden,函館市電,hokkaido-private-lines.ts,2026-05-18
jrHakodateMainLineSouth,JR函館本線（小樽〜長万部）,hokkaido-private-lines.ts,2026-05-18
jrHakodateMainLineNorth,JR函館本線（旭川〜岩見沢）,hokkaido-private-lines.ts,2026-05-18
dosanIsaribi,道南いさりび鉄道,hokkaido-private-lines.ts,2026-05-18
jrOuMainLineSouth,JR奥羽本線（福島〜新庄）,jr-tohoku-more.ts,2026-05-18
jrRikuuWestLine,JR陸羽西線,jr-tohoku-more.ts,2026-05-18
jrBanetsuEastLine,JR磐越東線,jr-tohoku-more.ts,2026-05-18
jrSensekiLine2,JR仙石線,jr-tohoku-more.ts,2026-05-18
abukumaKyuko,阿武隈急行,tohoku-private-more.ts,2026-05-18
yamagataRailway,山形鉄道フラワー長井線,tohoku-private-more.ts,2026-05-18
jrHanawLine,JR花輪線,tohoku-private-more.ts,2026-05-18
jrOminateLine,JR大湊線,tohoku-private-more.ts,2026-05-18
akitaNairikuLine,秋田内陸縦貫鉄道,tohoku-private-more.ts,2026-05-18
jrSekishoLine,JR石勝線,jr-hokkaido-more.ts,2026-05-18
jrNemuroMainLineWest,JR根室本線（滝川〜新得）,jr-hokkaido-more.ts,2026-05-18
jrSoyaMainLineNorth,JR宗谷本線（旭川〜名寄）,jr-hokkaido-more.ts,2026-05-18
jrSenmouMainLine,JR釧網本線,jr-hokkaido-more.ts,2026-05-18
jrWakayamaLine,JR和歌山線,kinki-jr-more.ts,2026-05-18
jrKiseiMainLineNorth,JR紀勢本線（亀山〜新宮）,kinki-jr-more.ts,2026-05-18
jrKiseiMainLineSouth,JR紀勢本線（新宮〜和歌山）,kinki-jr-more.ts,2026-05-18
kintetsuOsakaLine2,近鉄大阪線,kinki-jr-more.ts,2026-05-18
kintetsuNaraLine2,近鉄奈良線,kinki-private-more2.ts,2026-05-18
kintetsuShimaLine,近鉄志摩線,kinki-private-more2.ts,2026-05-18
kintetsuYamadaLine,近鉄山田線,kinki-private-more2.ts,2026-05-18
mizumaRailway,水間鉄道,kinki-private-more2.ts,2026-05-18
kobeElecArimaLine,神戸電鉄有馬線,kinki-private-more2.ts,2026-05-18
eizanMainLine,叡山電鉄叡山本線,kinki-private-more2.ts,2026-05-18
jrSanguLine,JR参宮線,chubu-more-lines.ts,2026-05-18
sangiNokuseLine,三岐鉄道北勢線,chubu-more-lines.ts,2026-05-18
yoroRailway,養老鉄道,chubu-more-lines.ts,2026-05-18
naganoDentetsuLine,長野電鉄長野線,chubu-more-lines.ts,2026-05-18
uedaDentetsuLine,上田電鉄別所線,chubu-more-lines.ts,2026-05-18
matsumotoDentestu,松本電気鉄道上高地線,chubu-more-lines.ts,2026-05-18
jrFukuenLine,JR福塩線,chugoku-more-lines.ts,2026-05-18
jrGeibiLine,JR芸備線,chugoku-more-lines.ts,2026-05-18
jrKisukiLine,JR木次線,chugoku-more-lines.ts,2026-05-18
jrKishinLine,JR姫新線,chugoku-more-lines.ts,2026-05-18
jrHakubiLine,JR伯備線,chugoku-more-lines.ts,2026-05-18
kintetsuYoshinoLine,近鉄吉野線,kinki-more-private3.ts,2026-05-18
kintetsuTobaLine,近鉄鳥羽線,kinki-more-private3.ts,2026-05-18
kintetsuYunoyamaLine,近鉄湯の山線,kinki-more-private3.ts,2026-05-18
keihanUjiLine,京阪宇治線,kinki-more-private3.ts,2026-05-18
kintetsuSuzukaLine,近鉄鈴鹿線,kinki-more-private3.ts,2026-05-18
hankyuImazu,阪急今津線,kinki-more-private3.ts,2026-05-18
nankaKoyaLine2,南海高野線,kinki-more-private3.ts,2026-05-18
jrGotembLine,JR御殿場線,chubu-jr-more2.ts,2026-05-18
jrMinobuLine,JR身延線,chubu-jr-more2.ts,2026-05-18
jrNagoyaGifuLine,JR東海道本線（名古屋〜大垣）,chubu-jr-more2.ts,2026-05-18
jrKansaiNagoya,JR関西本線（名古屋〜亀山）,chubu-jr-more2.ts,2026-05-18
fujikyu,富士急行線,chubu-jr-more2.ts,2026-05-18
jrSakuraiLine,JR桜井線（万葉まほろば線）,kinki-more-jr2.ts,2026-05-18
kintetsuKeihanna,近鉄けいはんな線,kinki-more-jr2.ts,2026-05-18
kitaosakaKyuko,北大阪急行電鉄,kinki-more-jr2.ts,2026-05-18
hankyuSenriLine,阪急千里線,kinki-more-jr2.ts,2026-05-18
hankyuArashiyamaLine,阪急嵐山線,kinki-more-jr2.ts,2026-05-18
hankyuKoyoLine,阪急甲陽線,kinki-more-jr2.ts,2026-05-18
jrKosaiLineNorth,JR湖西線（北部）,kinki-more-jr2.ts,2026-05-18
heitatsuIdaLine,平成筑豊鉄道伊田線,kyushu-more2.ts,2026-05-18
amakiRailway,甘木鉄道,kyushu-more2.ts,2026-05-18
jrMiyazakiAirportLine,JR宮崎空港線,kyushu-more2.ts,2026-05-18
jrHitaHikosan,JR日田彦山線,kyushu-more2.ts,2026-05-18
jrGotojLine,JR後藤寺線,kyushu-more2.ts,2026-05-18
nishitetsuAmakiLine,西鉄甘木線,kyushu-more2.ts,2026-05-18
jrKaratsuLine,JR唐津線,kyushu-more2.ts,2026-05-18
